word,level
息息相關,第5級
恰到好處,第5級
恰如其分,第5級
悶悶不樂,第5級
情不自禁,第5級
惱羞成怒,第5級
愁眉苦臉,第5級
意想不到,第5級
愛不釋手,第5級
感同身受,第5級
慘不忍睹,第5級
慢條斯理,第5級
憂心忡忡,第5級
憤世嫉俗,第5級
憤憤不平,第5級
應有盡有,第5級
應運而生,第5級
成群結隊,第5級
我行我素,第5級
或多或少,第5級
截然不同,第5級
戰戰兢兢,第5級
所作所為,第5級
所向無敵,第5級
所見所聞,第5級
手忙腳亂,第5級
手舞足蹈,第5級
手足無措,第5級
才貌雙全,第5級
打退堂鼓,第5級
抑揚頓挫,第5級
抽絲剝繭,第5級
拐彎抹角,第5級
拖拖拉拉,第5級
持之以恆,第5級
指指點點,第5級
按兵不動,第5級
按部就班,第5級
挨家挨戶,第5級
振振有詞,第5級
挺身而出,第5級
捫心自問,第5級
掉以輕心,第5級
排山倒海,第5級
接二連三,第5級
接踵而來,第5級
接踵而至,第5級
推波助瀾,第5級
推陳出新,第5級
措手不及,第5級
提心吊膽,第5級
揚長而去,第5級
揮之不去,第5級
搖搖欲墜,第5級
搖身一變,第5級
支支吾吾,第5級
支離破碎,第5級
改頭換面,第5級
數一數二,第5級
數以千計,第5級
文武百官,第5級
文藝復興,第5級
斤斤計較,第5級
斬釘截鐵,第5級
新陳代謝,第5級
斷斷續續,第5級
於事無補,第5級
既得利益,第5級
日復一日,第5級
日新月異,第5級
日積月累,第5級
明目張膽,第5級
易如反掌,第5級
時有所聞,第5級
晴天霹靂,第5級
暈頭轉向,第5級
暴跳如雷,第5級
曇花一現,第5級
曾幾何時,第5級
有利可圖,第5級
有意無意,第5級
有朝一日,第5級
有期徒刑,第5級
有條不紊,第5級
有樣學樣,第5級
有氣無力,第5級
有生之年,第5級
有聲有色,第5級
有說有笑,第5級
有鑑於此,第5級
望塵莫及,第5級
本末倒置,第5級
束手無策,第5級
東倒西歪,第5級
東山再起,第5級
東張西望,第5級
林林總總,第5級
栩栩如生,第5級
根深柢固,第5級
根深蒂固,第5級
格格不入,第5級
榮華富貴,第5級
樂不可支,第5級
樂此不疲,第5級
模稜兩可,第5級
橫衝直撞,第5級
欣喜若狂,第5級
歇斯底里,第5級
歡欣鼓舞,第5級
此起彼落,第5級
步步為營,第5級
歷久不衰,第5級
死去活來,第5級
死氣沉沉,第5級
死裡逃生,第5級
毀於一旦,第5級
每況愈下,第5級
比比皆是,第5級
毛骨悚然,第5級
氣急敗壞,第5級
水到渠成,第5級
水落石出,第5級
求之不得,第5級
汗流浹背,第5級
沒完沒了,第5級
沸沸揚揚,第5級
沾沾自喜,第5級
泰然自若,第5級
津津有味,第5級
津津樂道,第5級
活蹦亂跳,第5級
活靈活現,第5級
派上用場,第5級
浩浩蕩蕩,第5級
淋漓盡致,第5級
淚流滿面,第5級
深信不疑,第5級
深入淺出,第5級
深惡痛絕,第5級
渾身解數,第5級
源源不絕,第5級
滔滔不絕,第5級
滿頭大汗,第5級
漫不經心,第5級
潛移默化,第5級
火冒三丈,第5級
為所欲為,第5級
為時已晚,第5級
為非作歹,第5級
無中生有,第5級
無可厚非,第5級
無可奈何,第5級
無可救藥,第5級
無地自容,第5級
無家可歸,第5級
無影無蹤,第5級
無往不利,第5級
無微不至,第5級
無怨無悔,第5級
無懈可擊,第5級
無所不在,第5級
無所事事,第5級
無拘無束,第5級
無時無刻,第5級
無期徒刑,第5級
無法無天,第5級
無濟於事,第5級
無稽之談,第5級
無窮無盡,第5級
無精打采,第5級
無緣無故,第5級
無聲無息,第5級
無與倫比,第5級
無計可施,第5級
無論如何,第5級
無足輕重,第5級
無邊無際,第5級
無關緊要,第5級
煞有介事,第5級
煥然一新,第5級
照單全收,第5級
熊熊烈火,第5級
熱淚盈眶,第5級
爭先恐後,第5級
牢不可破,第5級
特立獨行,第5級
狼狽不堪,第5級
猶豫不決,第5級
獨一無二,第5級
獨當一面,第5級
獲益良多,第5級
理所當然,第5級
理直氣壯,第5級
琳瑯滿目,第5級
環環相扣,第5級
生氣勃勃,第5級
生生不息,第5級
生龍活虎,第5級
用武之地,第5級
男女老幼,第5級
畫龍點睛,第5級
異口同聲,第5級
異想天開,第5級
異曲同工,第5級
當務之急,第5級
當機立斷,第5級
當頭棒喝,第5級
疑神疑鬼,第5級
疲憊不堪,第5級
疲於奔命,第5級
病入膏肓,第5級
痛不欲生,第5級
痛哭流涕,第5級
發人深省,第5級
發揚光大,第5級
發號施令,第5級
白髮蒼蒼,第5級
百思不解,第5級
皆大歡喜,第5級
盡其所能,第5級
目不轉睛,第5級
目瞪口呆,第5級
直截了當,第5級
相依為命,第5級
相安無事,第5級
相提並論,第5級
相親相愛,第5級
相輔相成,第5級
眉開眼笑,第5級
眼花撩亂,第5級
眾所周知,第5級
眾所皆知,第5級
眾目睽睽,第5級
瞠目結舌,第5級
瞬息萬變,第5級
破口大罵,第5級
硬著頭皮,第5級
神采奕奕,第5級
稀奇古怪,第5級
空前絕後,第5級
空無一人,第5級
空空如也,第5級
突如其來,第5級
突飛猛進,第5級
竊竊私語,第5級
立竿見影,第5級
笑容可掬,第5級
笨手笨腳,第5級
筋疲力盡,第5級
筋疲力竭,第5級
粉身碎骨,第5級
粗聲粗氣,第5級
精疲力盡,第5級
精疲力竭,第5級
精益求精,第5級
紙上談兵,第5級
終其一生,第5級
絕無僅有,第5級
絞盡腦汁,第5級
絡繹不絕,第5級
經年累月,第5級
綽綽有餘,第5級
緊張兮兮,第5級
緊追不捨,第5級
總而言之,第5級
罪魁禍首,第5級
置之不理,第5級
義憤填膺,第5級
義無反顧,第5級
習以為常,第5級
翻來覆去,第5級
老生常談,第5級
耐人尋味,第5級
耳提面命,第5級
耳熟能詳,第5級
耳目一新,第5級
耿耿於懷,第5級
聊勝於無,第5級
聚精會神,第5級
聲嘶力竭,第5級
聽天由命,第5級
肅然起敬,第5級
肆無忌憚,第5級
背道而馳,第5級
胡作非為,第5級
胡思亂想,第5級
胡言亂語,第5級
胡說八道,第5級
脫口而出,第5級
脫穎而出,第5級
脫胎換骨,第5級
腳踏實地,第5級
膽戰心驚,第5級
膾炙人口,第5級
自以為是,第5級
自作主張,第5級
自動自發,第5級
自古以來,第5級
自告奮勇,第5級
自命不凡,第5級
自圓其說,第5級
自始至終,第5級
自得其樂,第5級
自怨自艾,第5級
自暴自棄,第5級
自欺欺人,第5級
自然而然,第5級
自由自在,第5級
自相矛盾,第5級
自言自語,第5級
至高無上,第5級
與世隔絕,第5級
與日俱增,第5級
與時俱進,第5級
與生俱來,第5級
與眾不同,第5級
興致勃勃,第5級
興高采烈,第5級
舉世聞名,第5級
舉足輕重,第5級
花花公子,第5級
花言巧語,第5級
苟延殘喘,第5級
若有所思,第5級
若無其事,第5級
苦不堪言,第5級
苦口婆心,第5級
莫名其妙,第5級
萬事如意,第5級
落荒而逃,第5級
蒸蒸日上,第5級
蕩然無存,第5級
虎視眈眈,第5級
處心積慮,第5級
蛛絲馬跡,第5級
融會貫通,第5級
蠢蠢欲動,第5級
袖手旁觀,第5級
裝模作樣,第5級
裹足不前,第5級
見不得人,第5級
見怪不怪,第5級
視而不見,第5級
視若無睹,第5級
討價還價,第5級
訓練有素,第5級
記憶猶新,第5級
設身處地,第5級
語無倫次,第5級
語重心長,第5級
誠心誠意,第5級
誤入歧途,第5級
談情說愛,第5級
謝天謝地,第5級
議論紛紛,第5級
變化多端,第5級
變本加厲,第5級
讚不絕口,第5級
豁然開朗,第5級
豐功偉業,第5級
貨真價實,第5級
責無旁貸,第5級
賞心悅目,第5級
赫赫有名,第5級
走投無路,第5級
起死回生,第5級
跌跌撞撞,第5級
躡手躡腳,第5級
身不由己,第5級
身敗名裂,第5級
身體力行,第5級
軒然大波,第5級
輕描淡寫,第5級
輕而易舉,第5級
輕舉妄動,第5級
轟轟烈烈,第5級
迎刃而解,第5級
近在咫尺,第5級
迥然不同,第5級
迫不及待,第5級
迫在眉睫,第5級
追根究柢,第5級
逆來順受,第5級
通貨膨脹,第5級
連根拔起,第5級
進退兩難,第5級
遊山玩水,第5級
過意不去,第5級
過路財神,第5級
道貌岸然,第5級
遙不可及,第5級
遠走高飛,第5級
適可而止,第5級
適得其反,第5級
重責大任,第5級
野心勃勃,第5級
金光閃閃,第5級
金碧輝煌,第5級
金銀財寶,第5級
鉅細靡遺,第5級
銷聲匿跡,第5級
鋌而走險,第5級
錦上添花,第5級
錯綜複雜,第5級
鍥而不捨,第5級
鑽牛角尖,第5級
長久以來,第5級
長生不老,第5級
長篇大論,第5級
長途跋涉,第5級
閃閃發光,第5級
開宗明義,第5級
開門見山,第5級
閒話家常,第5級
除此之外,第5級
隨心所欲,第5級
隨機應變,第5級
隨波逐流,第5級
隱形眼鏡,第5級
隻字片語,第5級
雜亂無章,第5級
雞毛蒜皮,第5級
雞皮疙瘩,第5級
離鄉背井,第5級
難上加難,第5級
難以置信,第5級
難能可貴,第5級
雨後春筍,第5級
靈機一動,第5級
青紅皂白,第5級
非同小可,第5級
非比尋常,第5級
面紅耳赤,第5級
面面相覷,第5級
順其自然,第5級
順理成章,第5級
頗負盛名,第5級
頭昏眼花,第5級
頭暈目眩,第5級
頭破血流,第5級
頭頭是道,第5級
顛沛流離,第5級
顧名思義,第5級
顯而易見,第5級
風吹草動,第5級
風平浪靜,第5級
風調雨順,第5級
風起雲湧,第5級
風雲人物,第5級
食指大動,第5級
首尾呼應,第5級
首屈一指,第5級
首當其衝,第5級
馬不停蹄,第5級
馬馬虎虎,第5級
駕輕就熟,第5級
駭人聽聞,第5級
驚天動地,第5級
驚心動魄,第5級
驚慌失措,第5級
驚濤駭浪,第5級
骨瘦如柴,第5級
高人一等,第5級
高爾夫球,第5級
高談闊論,第5級
高高在上,第5級
鬼鬼祟祟,第5級
默不作聲,第5級
點點滴滴,第5級
龐然大物,第5級
台灣人,第1級
對不起,第1級
小孩子,第1級
星期一,第1級
星期天,第1級
星期日,第1級
沒關係,第1級
臺灣人,第1級
一點兒,第1*級
一點點,第1*級
怎麼樣,第1*級
有一點,第1*級
有時候,第1*級
有點兒,第1*級
為什麼,第1*級
禮拜天,第1*級
計程車,第1*級
一下子,第2級
小時候,第2級
小朋友,第2級
差不多,第2級
怎麼辦,第2級
一塊兒,第2*級
一會兒,第2*級
三明治,第2*級
不客氣,第2*級
不見了,第2*級
信用卡,第2*級
冰淇淋,第2*級
圖書館,第2*級
有意思,第2*級
比方說,第2*級
洗手間,第2*級
游泳池,第2*級
腳踏車,第2*級
辦公室,第2*級
停車場,第3級
大學生,第3級
學生證,第3級
巧克力,第3級
摩托車,第3級
沐浴乳,第3級
洗衣機,第3級
洗髮精,第3級
烏龍茶,第3級
看起來,第3級
自行車,第3級
衛生紙,第3級
電影院,第3級
不得了,第3*級
做生意,第3*級
外祖母,第3*級
外祖父,第3*級
居留證,第3*級
日用品,第3*級
沒想到,第3*級
生活費,第3*級
老太太,第3*級
老板娘,第3*級
老闆娘,第3*級
開玩笑,第3*級
零用錢,第3*級
不得不,第4級
中文系,第4級
人行道,第4級
來不及,第4級
來得及,第4級
博物館,第4級
受不了,第4級
大洋洲,第4級
大自然,第4級
差一點,第4級
手指頭,第4級
打招呼,第4級
拉肚子,第4級
接下來,第4級
新台幣,第4級
比如說,第4級
牛仔褲,第4級
獎學金,第4級
研究所,第4級
筆記本,第4級
紅綠燈,第4級
補習班,第4級
要不然,第4級
觀光客,第4級
隨身碟,第4級
電風扇,第4級
青少年,第4級
高麗菜,第4級
一方面,第4*級
一陣子,第4*級
三角形,第4*級
乒乓球,第4*級
了不起,第4*級
代名詞,第4*級
受得了,第4*級
嚇一跳,第4*級
地下室,第4*級
小提琴,第4*級
幼兒園,第4*級
幼稚園,第4*級
形容詞,第4*級
待會兒,第4*級
怪不得,第4*級
想像力,第4*級
打噴嚏,第4*級
救護車,第4*級
目的地,第4*級
看不起,第4*級
總統府,第4*級
美容院,第4*級
自來水,第4*級
要不是,第4*級
說不定,第4*級
談戀愛,第4*級
辦事處,第4*級
進一步,第4*級
電視劇,第4*級
電視台,第4*級
電視臺,第4*級
音樂家,第4*級
一五一,第5級
一口氣,第5級
一團糟,第5級
一屁股,第5級
一溜煙,第5級
一眨眼,第5級
一窩蜂,第5級
一視同,第5級
三國演,第5級
三部曲,第5級
下功夫,第5級
下意識,第5級
不動產,第5級
不外乎,第5級
不失為,第5級
不對勁,第5級
不得已,第5級
不敢當,第5級
不為過,第5級
不由得,第5級
不盡然,第5級
不經意,第5級
不至於,第5級
不致於,第5級
中世紀,第5級
主人翁,第5級
之所以,第5級
了不得,第5級
事實上,第5級
亮晶晶,第5級
人情味,第5級
人民幣,第5級
以至於,第5級
以致於,第5級
企業界,第5級
伴手禮,第5級
佈告欄,第5級
佔上風,第5級
何容易,第5級
併發症,第5級
保守派,第5級
修道院,第5級
俱樂部,第5級
倒過來,第5級
健身房,第5級
傷腦筋,第5級
傾盆大,第5級
價值觀,第5級
充其量,第5級
光十色,第5級
光禿禿,第5級
免不了,第5級
兒育女,第5級
全方位,第5級
冤大頭,第5級
冷不防,第5級
冷冰冰,第5級
出版社,第5級
出生率,第5級
出發點,第5級
分水嶺,第5級
划不來,第5級
划得來,第5級
到頭來,第5級
副作用,第5級
副總統,第5級
劃時代,第5級
劊子手,第5級
功盡棄,第5級
動一時,第5級
動不動,第5級
勢洶洶,第5級
十字架,第5級
千上萬,第5級
博物院,第5級
原住民,第5級
原動力,第5級
原子筆,第5級
參考書,第5級
口頭禪,第5級
古典樂,第5級
召集人,第5級
可蘭經,第5級
合時宜,第5級
同義詞,第5級
向心力,第5級
吹口哨,第5級
告一段,第5級
單行道,第5級
回憶錄,第5級
團團轉,第5級
地平線,第5級
壓歲錢,第5級
夏令營,第5級
多媒體,第5級
大不了,第5級
大剌剌,第5級
大夥兒,第5級
大屠殺,第5級
大手筆,第5級
大本營,第5級
大清早,第5級
大理石,第5級
大發雷,第5級
大西洋,第5級
大開眼,第5級
天底下,第5級
天花板,第5級
太平洋,第5級
太空人,第5級
太陽穴,第5級
好奇心,第5級
好意思,第5級
好端端,第5級
孤零零,第5級
孩子氣,第5級
守護神,第5級
安全帶,第5級
安理得,第5級
安眠藥,第5級
家務事,第5級
家常便,第5級
寄生蟲,第5級
小伙子,第5級
小夥子,第5級
左右手,第5級
巴不得,第5級
布告欄,第5級
平衡點,第5級
年齡層,第5級
幻燈片,第5級
座右銘,第5級
後遺症,第5級
心目中,第5級
怒氣沖,第5級
性行為,第5級
恐懼症,第5級
恨不得,第5級
悄悄話,第5級
惡作劇,第5級
惡狠狠,第5級
愛滋病,第5級
慢吞吞,第5級
懶洋洋,第5級
成就感,第5級
房地產,第5級
所以然,第5級
所有人,第5級
手電筒,第5級
打交道,第5級
打瞌睡,第5級
抗生素,第5級
拍馬屁,第5級
拔腿就,第5級
拳打腳,第5級
指日可,第5級
捨不得,第5級
排行榜,第5級
換言之,第5級
搞不好,第5級
撲克牌,第5級
擴音器,第5級
放大鏡,第5級
放聲大,第5級
教科書,第5級
教育部,第5級
敵不過,第5級
方程式,第5級
旅行社,第5級
智慧型,第5級
書呆子,第5級
曾祖父,第5級
有史以,第5級
有心人,第5級
有成竹,第5級
望遠鏡,第5級
未婚夫,第5級
未婚妻,第5級
根據地,第5級
植物人,第5級
榻榻米,第5級
模特兒,第5級
機關槍,第5級
橢圓形,第5級
止痛藥,第5級
正人君,第5級
歷在目,第5級
死胡同,第5級
殊不知,第5級
殺人犯,第5級
毛毛雨,第5級
氣呼呼,第5級
氣風發,第5級
沉甸甸,第5級
活生生,第5級
流浪漢,第5級
海岸線,第5級
消費者,第5級
清一色,第5級
清潔工,第5級
湊熱鬧,第5級
潛意識,第5級
灌木叢,第5級
無名指,第5級
無形中,第5級
無怪乎,第5級
無所謂,第5級
然而生,第5級
照不宣,第5級
熱騰騰,第5級
現代化,第5級
男子漢,第5級
症候群,第5級
療養院,第5級
發源地,第5級
發脾氣,第5級
發言人,第5級
白日夢,第5級
白皮書,第5級
白花花,第5級
皇太后,第5級
皺眉頭,第5級
監護人,第5級
直挺挺,第5級
相對論,第5級
省吃儉,第5級
眼珠子,第5級
眼睜睜,第5級
瞧不起,第5級
硬梆梆,第5級
硬生生,第5級
神經質,第5級
禁不住,第5級
禁不起,第5級
私底下,第5級
私生活,第5級
科全書,第5級
稱得上,第5級
空蕩蕩,第5級
立足點,第5級
笑咪咪,第5級
笑嘻嘻,第5級
等不及,第5級
節骨眼,第5級
篳路藍,第5級
精神抖,第5級
絆腳石,第5級
經濟學,第5級
經理人,第5級
綠油油,第5級
維他命,第5級
維生素,第5級
總公司,第5級
美術館,第5級
老人家,第5級
老天爺,第5級
老百姓,第5級
老頭子,第5級
聯合國,第5級
肺結核,第5級
膽固醇,第5級
膽小鬼,第5級
自己人,第5級
自知之,第5級
致命傷,第5級
興沖沖,第5級
舞台劇,第5級
花亂墜,第5級
苦差事,第5級
荷爾蒙,第5級
落地窗,第5級
蛋白質,第5級
行事曆,第5級
製造商,第5級
視網膜,第5級
觀眾席,第5級
言蜜語,第5級
記憶體,第5級
說明書,第5級
謀而合,第5級
證券行,第5級
警察局,第5級
譬如說,第5級
護身符,第5級
貓頭鷹,第5級
貧民窟,第5級
走下坡,第5級
起居室,第5級
輕飄飄,第5級
轉捩點,第5級
轟隆隆,第5級
近代史,第5級
迫不得,第5級
連續劇,第5級
運動會,第5級
遠弗屆,第5級
選舉權,第5級
避風港,第5級
鄉僻壤,第5級
醉醺醺,第5級
重要性,第5級
錄音帶,第5級
開場白,第5級
開幕式,第5級
關節炎,第5級
關鍵字,第5級
關鍵點,第5級
雀無聲,第5級
集大成,第5級
雙胞胎,第5級
雞尾酒,第5級
難為情,第5級
雨綢繆,第5級
靜悄悄,第5級
靠不住,第5級
顧不得,第5級
顯微鏡,第5級
飄飄然,第5級
香噴噴,第5級
馬鈴薯,第5級
髒兮兮,第5級
高跟鞋,第5級
麥克風,第5級
黑名單,第5級
黑漆漆,第5級
黑社會,第5級
一月,第1級
一起,第1級
上午,第1級
下午,第1級
中午,第1級
中文,第1級
什麼,第1級
今天,第1級
今年,第1級
他們,第1級
你們,第1級
先生,第1級
兒子,第1級
再見,第1級
去年,第1級
可以,第1級
可能,第1級
台灣,第1級
吃飯,第1級
同學,第1級
名字,第1級
哥哥,第1級
哪兒,第1級
哪裏,第1級
哪裡,第1級
喜歡,第1級
多少,第1級
大學,第1級
大家,第1級
太太,第1級
女兒,第1級
妹妹,第1級
姊姊,第1級
姐姐,第1級
姓名,第1級
媽媽,第1級
孩子,第1級
學校,第1級
學生,第1級
容易,第1級
小姐,第1級
小孩,第1級
小時,第1級
工作,第1級
弟弟,第1級
怎麼,第1級
我們,第1級
手機,第1級
早上,第1級
早安,第1級
明天,第1級
昨天,第1級
時候,第1級
時間,第1級
晚上,第1級
晚安,第1級
朋友,第1級
東西,第1級
沒有,第1級
爸爸,第1級
現在,第1級
睡覺,第1級
知道,第1級
老師,第1級
臺灣,第1級
英文,第1級
請問,第1級
謝謝,第1級
車子,第1級
這兒,第1級
這裏,第1級
這裡,第1級
那兒,第1級
那裏,第1級
那裡,第1級
醫師,第1級
醫生,第1級
電話,第1級
一些,第1*級
一共,第1*級
一定,第1*級
一樣,第1*級
一點,第1*級
上課,第1*級
下課,第1*級
下雨,第1*級
不錯,第1*級
介紹,第1*級
以前,第1*級
以後,第1*級
休息,第1*級
便宜,第1*級
公園,第1*級
公車,第1*級
分鐘,第1*級
前天,第1*級
前年,第1*級
前面,第1*級
功課,第1*級
包子,第1*級
午飯,第1*級
午餐,第1*級
句子,第1*級
可是,第1*級
右邊,第1*級
告訴,第1*級
周末,第1*級
唱歌,第1*級
嘴巴,第1*級
因為,第1*級
國家,第1*級
地方,第1*級
外頭,第1*級
多久,第1*級
天氣,第1*級
家人,第1*級
小吃,第1*級
常常,第1*級
後天,第1*級
後年,第1*級
快樂,第1*級
意思,第1*級
感冒,第1*級
應該,第1*級
房子,第1*級
房間,第1*級
所以,第1*級
